status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360,25000.0,3000.0,0.0,0.0,0.0,0.0,6.9996875,2.3332291666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6924.6875
missingTrace,382840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,382840,25000.0,3000.0,0.0,0.0,230.0,68.55013970816518,10.065625,3.355208333333333,0.0659375,0.0065507606333436,0.019652281900031,1.0,0.2980440856876746,0.0,0.0,0.0,0.0,-0.0327538031667184,0.0,0.0,-4.147152514746973,2990.9375
missingTrace,718856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,718856,25000.0,3000.0,0.0,0.0,460.0,87.58186008321863,15.7566875,5.252229166666667,2.757,0.1749733248184302,0.5249199744552908,2.0,0.380790696013994,0.0,0.0,0.0,0.0,-0.8748666240921512,0.0,0.0,-4.636683732305444,5616.0625
missingTrace,815504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,815504,25000.0,3000.0,0.0,0.0,690.0,93.23143182873793,22.2028125,7.4009375,6.203125,0.2793846500302608,0.8381539500907824,3.0,0.4053540514292952,0.0,0.0,0.0,0.0,-1.396923250151304,0.0,0.0,-4.924520004458648,6371.125
missingTrace,528072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,528072,25000.0,3000.0,0.0,0.0,920.0,104.53209106790324,26.403375,8.801125,7.4036875,0.2804068608653249,0.8412205825959749,4.0,0.4544873524691445,0.0,0.0,0.0,0.0,-1.4020343043266248,0.0,0.0,-5.123673658871953,4125.5625
missingTrace,659648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,659648,25000.0,3000.0,0.0,0.0,1150.0,109.0671988302938,31.631875,10.543958333333334,9.6321875,0.3045089012270059,0.913526703681018,5.0,0.4742052123056252,0.0,0.0,0.0,0.0,-1.5225445061350298,0.0,0.0,-5.28086408100501,5153.5
missingTrace,687488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,687488,25000.0,3000.0,0.0,0.0,1380.0,111.65688432791792,37.077875,12.359291666666667,12.0781875,0.3257518803329479,0.9772556409988437,6.0,0.4854647144692083,0.0,0.0,0.0,0.0,-1.628759401664739,0.0,0.0,-5.40974975023043,5371.0
missingTrace,1050328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missingTrace,1050328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,1050328,25000.0,3000.0,0.0,0.0,1610.0,106.48485608422888,45.3585625,15.119520833333333,17.358875,0.3827033760163806,1.148110128049142,7.0,0.4629776351488211,0.0,0.0,0.0,0.0,-1.913516880081903,0.0,0.0,-5.523428620871393,8205.6875
missingTrace,759456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,759456,25000.0,3000.0,0.0,0.0,1840.0,107.46238147441989,51.3668125,17.122270833333335,20.367125,0.3965035790375352,1.1895107371126057,8.0,0.467227745540956,0.0,0.0,0.0,0.0,-1.982517895187676,0.0,0.0,-5.61767254582086,5933.25
downloadedSegment,430176,25000.0,3000.0,0.0,0.0,2070.0,113.31586912564536,54.8025625,18.26752083333333,20.802875,0.3795967569947117,1.138790270984135,9.0,0.492677691850632,0.0,0.0,0.0,0.0,-1.8979837849735588,0.0,0.0,-5.697315704955016,3360.75
missingTrace,693544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missingTrace,693544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,693544,25000.0,3000.0,0.0,0.0,2300.0,114.43568900857647,60.295875,20.098625,23.2961875,0.3863645315703603,1.159093594711081,10.0,0.4975464739503324,0.0,0.0,0.0,0.0,-1.9318226578518016,0.0,0.0,-5.771667532305345,5418.3125
missingTrace,860408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,860408,25000.0,3000.0,0.0,0.0,2530.0,113.12687182401244,67.0928125,22.36427083333333,27.093125,0.4038156099060536,1.211446829718161,11.0,0.491855964452228,0.0,0.0,0.0,0.0,-2.0190780495302683,0.0,0.0,-5.840539963895389,6721.9375
missingTrace,603664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,603664,25000.0,3000.0,0.0,0.0,2760.0,115.18567691147972,71.8839375,23.9613125,28.88425,0.4018178609094695,1.2054535827284087,12.0,0.5008072909194771,0.0,0.0,0.0,0.0,-2.009089304547348,0.0,0.0,-5.900988688949821,4716.125
missingTrace,692384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,692384,25000.0,3000.0,0.0,0.0,2990.0,115.9391254965098,77.3681875,25.789395833333334,31.3685,0.4054444211970198,1.2163332635910593,13.0,0.5040831543326513,0.0,0.0,0.0,0.0,-2.027222105985099,0.0,0.0,-5.957462724416884,5409.25
missingTrace,478456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,478456,25000.0,3000.0,0.0,0.0,3220.0,118.99317729336715,81.181125,27.060375,32.1814375,0.3964152689433658,1.1892458068300975,14.0,0.5173616404059441,0.0,0.0,0.0,0.0,-1.9820763447168293,0.0,0.0,-6.00805833232867,3737.9375
missingTrace,549680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,549680,25000.0,3000.0,0.0,0.0,3450.0,120.98117486163142,85.5505,28.51683333333333,33.5508125,0.392175527904571,1.1765265837137129,15.0,0.5260051080940497,0.0,0.0,0.0,0.0,-1.9608776395228549,0.0,0.0,-6.055869194472772,4294.375
missingTrace,710504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,710504,25000.0,3000.0,0.0,0.0,3680.0,121.0840809119145,91.1763125,30.392104166666662,36.176625,0.3967765750561584,1.1903297251684752,16.0,0.526452525703976,0.0,0.0,0.0,0.0,-1.983882875280792,0.0,0.0,-6.101898632280985,5550.8125
missingTrace,650536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,650536,25000.0,3000.0,0.0,0.0,3910.0,121.7643372187022,96.333625,32.11120833333333,38.3339375,0.3979289422566627,1.1937868267699885,17.0,0.5294101618204443,0.0,0.0,0.0,0.0,-1.989644711283313,0.0,0.0,-6.144685254072337,5082.3125
missingTrace,680424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,680424,25000.0,3000.0,0.0,0.0,4140.0,122.09455569611777,101.7244375,33.908145833333336,40.72475,0.4003438210213745,1.2010314630641237,18.0,0.5308458943309468,0.0,0.0,0.0,0.0,-2.001719105106873,0.0,0.0,-6.185248587874452,5315.8125
missingTrace,718512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,718512,25000.0,3000.0,0.0,0.0,4370.0,122.05247860910448,107.4128125,35.804270833333334,43.413125,0.404170824593202,1.212512473779606,19.0,0.5306629504743673,0.0,0.0,0.0,0.0,-2.02085412296601,0.0,0.0,-6.223865300673412,5613.375
