status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360,25000.0,3000.0,0.0,0.0,0.0,0.0,0.6892719999999999,0.2297573333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.2719999999999
downloadedSegment,8067960,25000.0,3874.408,0.0,0.0,230.0,245.12729567041248,2.814864,0.938288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,0.2643740088331088,1613.592
missingTrace,8491768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768,25000.0,4664.0544,2.555540685904549,1.5256298667969417,3192.0,1905.5891231456328,5.0252176,1.6750725333333334,0.0,0.0,0.0,0.0,0.0,2732.0,1630.974149258731,2.555540685904549,1.5256298667969417,1.5256298667969417,0.0,1.3642420526593924e-12,1.0227435815094248,1698.3536
downloadedSegment,9855896,25000.0,5180.8752,5.111081371809098,2.042146216277128,6154.0,2458.8471403109647,7.508396800000001,2.5027989333333336,0.0,0.0,0.0,0.0,0.0,2732.0,1091.5778984935905,2.555540685904549,1.0210731081385638,2.042146216277128,0.0,1.2126596023639042e-12,1.315576639051762,1971.1792
downloadedSegment,8308192,25000.0,6007.2368,5.111081371809098,1.5836798564239154,6154.0,1906.8304977862508,9.6820352,3.2273450666666665,0.0,0.0,0.0,0.0,0.0,2732.0,846.5162365862914,2.555540685904549,0.7918399282119577,1.5836798564239154,0.0,1.1368683772161605e-12,0.8654071990797817,1661.6384000000005
missingTrace,11369328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,11369328,25000.0,6221.3712,7.666622057713647,1.8447264332694195,9116.0,2193.47269750494,12.4679008,4.155966933333334,0.0,0.0,0.0,0.0,0.0,2732.0,657.3680791557148,2.555540685904549,0.6149088110898064,1.8447264332694195,0.0,9.094947017729282e-13,1.1665257074449291,2273.8656
missingTrace,15416704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
