status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
missingTrace,886360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360.0,6000.0,3000.0,0.0,0.0,0.0,0.0,1.201272,0.400424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.2719999999999,0.0
downloadedSegment,8067960.0,6000.0,3362.408,0.0,0.0,230.0,179.74067328251274,3.838864,1.2796213333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,0.2392001592137674,1613.592,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.40799999999945
missingTrace,8491768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768.0,6000.0,3277.6464000000005,2.555540685904549,1.1073132056293813,3192.0,1383.09038547665,6.923625599999999,2.3078752,0.0,0.0,0.0,0.0,0.0,2732.0,1183.7728487224963,2.555540685904549,1.1073132056293813,1.1073132056293813,0.0,1.3642420526593924e-12,0.7893067447837339,1698.3536,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.64640000000054
downloadedSegment,7512272.0,6000.0,3473.5456,5.111081371809098,1.5762413008888998,6154.0,1897.874101393312,9.7277264,3.242575466666666,0.0,0.0,0.0,0.0,0.0,2732.0,842.5401438099658,2.555540685904549,0.7881206504444499,1.5762413008888998,0.0,1.2126596023639042e-12,1.0687077909544938,1502.4544,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.54559999999947
missingTrace,5650392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5650392.0,6000.0,3845.9216000000006,7.301519689460957,1.7728804412040693,8210.0,1993.468351978104,12.3553504,4.118450133333333,0.0,0.0,0.0,0.0,0.0,3638.0,883.3420054197735,2.920643054157237,0.7091607181348504,1.7728804412040693,0.0,6.821210263296962e-13,1.1072471958354206,1130.0784,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.9216000000006
downloadedSegment,5216336.0,6000.0,3932.7328,9.491958007112816,1.865003170790461,10266.0,2017.088838465961,15.2685392,5.089513066666667,0.0,0.0,0.0,0.0,0.0,3638.0,714.8031554976785,2.920643054157237,0.5738551047811903,1.865003170790461,0.0,7.275957614183426e-13,1.1294958526305865,1043.2672000000002,0.0
